code_sages,libelle,lieu_id
754C246100,DIVISION 7 SFACT VDP,13
7564B10,10EME BRIGADE DEPART. VERIF. PARIS NORD,1
7564B01,1ERE BRIGADE DEPART. VERIF. PARIS NORD,1
7564B02,2EME BRIGADE DEPART. VERIF. PARIS NORD,1
7544B04,4EME BRIGADE DEPART. VERIF. PARIS-CENTRE,1
7564B05,5EME BRIGADE DEPART. VERIF. PARIS NORD,1
7564B06101,6EME BRIGADE DEPART. VERIF. PARIS NORD,1
7554B07,7EME BRIGADE DEPART. VERIF. PARIS EST,1
7564B07,7EME BRIGADE DEPART. VERIF. PARIS NORD,1
7564B08,8EME BRIGADE DEPART. VERIF. PARIS NORD,1
7564B09,9EME BRIGADE DEPART. VERIF. PARIS NORD,1
7567E40,BRIGADE CONTROLE ET RECHERCHES PARIS NORD,1
7557P63600,IMMEUBLE PARIS 19EME 17 PLACE ARGONNE,1
754F113100,MISSION 4 MISSION DEPARTEMENTALE AUDIT,1
7550E12,POLE DE CONTROLE ET EXPERTISE PARIS 18E-19E,1
7560305,SERVICE IMPOTS DES ENTREPRISES PARIS 18E,1
7550301,SERVICE IMPOTS DES ENTREPRISES PARIS 19E,1
7550351,SERVICE IMPOTS PARTICULIERS PARIS 19E,1
7587P34600,CENTRE DES FINANCES PUBLIQUES PARIS 14E 29 RUE MOULIN VERT,10
7584R01,PCRP PARIS 5E 14E,10
7580E12,POLE DE CONTROLE ET EXPERTISE PARIS 5E-13E-14E,10
7580401,SERVICE IMPOTS DES ENTREPRISES PARIS 14E,10
7580481,SERVICE IMPOTS PARTICULIERS PARIS 14E,10
7549E26,TRESORERIE PARIS CTRES HOSPITALIERS SPEC.,10
754D144100,DIVISION BUDGET/MARCHES,11
754D146,DIVISION GESTIONS DE SITE ET SECURITE,11
754D145100,DIVISION IMMOBILIER,11
7540E10,POLE DE CONTROLE ET EXPERTISE PARIS 1ER-2E,11
7540E12,POLE DE CONTROLE ET EXPERTISE PARIS 4E,11
7540102245,SERVICE IMPOTS DES ENTREPRISES PARIS 1E-2E,11
7540302,SERVICE IMPOTS DES ENTREPRISES PARIS 3E-4E,11
