id;nom
1;0018 RUE VICTOR HUGO MONTROUGE
2;0130 RUE HOUDAN SCEAUX
3;0167 AV F ET I JOLIOT CURIE NANTERRE
4;0090 RUE BAUDIN LEVALLOIS-PERRET
5;0235 AV GEORGES CLEMENCEAU NANTERRE
6;0012 RUE MERLIN DE THIONVILLE SURESNES
7;0058 BD DU LYCEE VANVES
8;0007 BD DES BOUVETS NANTERRE
9;0028 RUE DE LA REDOUTE FONTENAY-AUX-ROSES
10;0007 RUE DES BOUVETS NANTERRE
11;0001 PL D ALEMBERT ISSY-LES-MOULINEAUX
12;0390 RUE D'ESTIENNE D'ORVES COLOMBES
13;0115 BD JEAN JAURES BOULOGNE-BILLANCOURT
14;0005 RUE DU BOURNARD COLOMBES
15;0016 RUE DU VIEUX - PONT NANTERRE
16;0008 AV DE L EUROPE SEVRES
17;0007 RUE AUGUSTE BEAU COURBEVOIE
18;0051 AV FLACHAT ASNIERES-SUR-SEINE
19;0076 BD BOURDON NEUILLY-SUR-SEINE
20;0017 RUE VILLENEUVE CLICHY
21;0074 RUE CHAUVEAU NEUILLY-SUR-SEINE
22;0003 RUE DE LA RENAISSANCE ANTONY
23;0048 RUE RAYMOND MARCHERON VANVES
24;0020 BD DE LA REPUBLIQUE SAINT-CLOUD
25;0015 RUE VILLENEUVE CLICHY
26;0177 AV GABRIEL PERI GENNEVILLIERS
27;0032 RUE FESSART BOULOGNE-BILLANCOURT
28;0046 RUE RAYMOND MARCHERON VANVES
29;0057 RUE DES LONGUES RAIES NANTERRE
