code_sages;libelle;lieu_id
950D100;SCES DIR TRANSV-SERVICES .;1
9509E03;TRESORERIE ARGENTEUIL CENTRE HOSPITALIER;2
950C140;DIVISION 1 .;1
9509E08;SERVICE DE GESTION COMPTABLE L'ISLE-ADAM;3
9507P;GROUPE DES IMMEUBLES;
9500300;SERVICE IMPOTS DES ENTREPRISES VAL-D'OISE OUEST;4
950C142;DIVISION 3 .;4
950F111;MISSION 2 MAITRISE RISQUES;1
9509B01;MIS A DISPOSITION DGCP;5
9500A55;DIVISION 5;6
9500A56;DIVISION 6;6
9500E12;POLE DPTAL DE PROGRAMMATION DU VAL-D'OISE;4
95041;CIRCONSCRIPTION FONCIERE CERGY-PONTOISE;
950F1;MISSIONS;1
950C141;DIVISION 2 .;1
95002;CIRCONSCRIPTION DES IMPOTS ERMONT;
9500E;STRUCTURES ORGANISATIONNELLES;
9504R01;PCRP VAL-D'OISE;4
9500T;CADRES DE DIRECTION;
9509E;FILIERE GESTION PUBLIQUE;
9504G;BRIGADE DEPART. VERIFICATIONS;
9500A52;DIVISION 2;6
9500A53;DIVISION 3;6
95042;CIRCONSCRIPTION FONCIERE ERMONT;
95061;SERVICES LOCAUX DU CADASTRE;
950B100;SCES DIR PRODUCTION .;1
950B143;DIVISION 4 CONTROLE FISCAL;1
95005;CIRCONSCRIPTION DES IMPOTS SAINT-LEU-LA-FORET;
9509E19;TRESORERIE VAL D'OISE AMENDES;1
9500290;RESIDENCE SIP;7
9509F01;SERVICE DE GESTION COMPTABLE MAGNY-EN-VEXIN;8
95003;CIRCONSCRIPTION DES IMPOTS PONTOISE;
9500451;SERVICE IMPOTS PARTICULIERS GARGES-LES-GONESSE;9
9500590;RESIDENCE SIP;10
9504G06;6EME BRIGADE DEPART. VERIF. BRIGADE 6;1
9504221;CENTRE DES IMPOTS FONCIER ERMONT PLAINE DE FRANCE;7
9504P61;SERVICE DEPTAL ENREGISTREMENT ERMONT;7
9504G07;7EME BRIGADE DEPART. VERIF. -;1
9500C;STRUCTURES REFERENCEES AU RDS;
95043;CIRCONSCRIPTION FONCIERE SAINT-LEU-LA-FORET;
9504P01;SERVICE DE PUBLICITE FONCIERE CERGY-PONTOISE 1;4
9507P34;CENTRE DES FINANCES PUBLIQUES ERMONT 421 RUE JEAN RICHEPIN;7
950B144;DIVISION 5 SPL;1
950D143;DIVISION 4 BUDGET-IMMOBILIER-LOGISTIQUE;1
9509F;SECTEUR PUBLIC LOCAL;
9500A00;SERVICES DE LA DIRECTION CERGY-PONTOISE;6
9504G01;1ERE BRIGADE DEPART. VERIF. BRIGADE 1;1
